CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
80628,LE PLESSIER-ROZAINVILLERS,Commune simple,725,1050.24439099968,667693.041337103,6961501.4424258,8550
80415,HANGEST-EN-SANTERRE,Commune simple,1026,1477.65020249888,671300.336849525,6961484.18491503,8551
80685,ROYE,Commune simple,6061,1551.92123049912,684738.870685037,6954986.49399348,8552
80274,EPPEVILLE,Commune simple,1868,507.302202999757,703551.085803833,6959888.16197004,8553
02315,FLAVY-LE-MARTEL,Commune simple,1642,1271.69801849945,714036.863154491,6956263.64638457,8554
02304,LA FERE,Commune simple,2915,664.605756999727,726657.702452635,6952084.14227642,8555
02124,BRISSY-HAMEGICOURT,Commune simple,640,1232.40894049944,728881.646787299,6960504.88893872,8556
02237,CRECY-SUR-SERRE,Commune simple,1485,1855.5753989989,744966.802344242,6955727.93056437,8557
02468,MARLE,Commune simple,2331,1393.18739849921,755178.140348186,6960961.79088061,8558
02737,TAVAUX-ET-PONTSERICOURT,Commune simple,591,2562.31141149787,766314.875872594,6959309.85210632,8559
02502,MONTCORNET,Commune simple,1478,602.178906999546,774339.882630608,6954876.48096802,8560
08366,ROCQUIGNY,Commune simple,669,3678.84100099766,790037.818472159,6956350.15571762,8561
08419,SIGNY-L'ABBAYE,Commune simple,1350,6203.09344499655,801350.604212313,6956896.72041461,8562
08248,LAUNOIS-SUR-VENCE,Commune simple,682,1378.80524999894,810283.104414276,6952725.02697172,8563
08327,NOUVION-SUR-MEUSE,Commune simple,2230,887.234359999508,829728.025440755,6958107.94357407,8564
08409,SEDAN,Sous-préfecture,18134,1633.02869649933,839301.720199497,6957020.63363553,8565
08145,DOUZY,Commune simple,2134,2040.06691799881,847440.991824023,6953450.75278726,8566
08349,PURE,Commune simple,632,647.400880499553,857378.903243572,6955791.7871304,8567
08291,MOGUES,Commune simple,160,784.185895999257,864911.116358849,6953509.19768603,8568
50041,BEAUMONT-HAGUE,Commune simple,1485,774.29135799974,350431.274649865,6962258.05145501,8622
50611,URVILLE-NACQUEVILLE,Commune simple,2154,1122.79142249932,357508.758106262,6962256.64623179,8623
50178,FERMANVILLE,Commune simple,1379,1202.31073349953,378507.9122806,6962638.73969254,8625
50196,GATTEVILLE-LE-PHARE,Commune simple,483,971.45845599915,390347.327700864,6961870.97853656,8626
76600,SAINT-LEONARD,Commune simple,1813,1168.10375249904,508333.113921995,6962457.90278033,8636
76259,FECAMP,Commune simple,19381,1521.36131799921,512260.578814808,6964614.36228601,8637
76159,CANY-BARVILLE,Commune simple,3058,1380.26320399937,529437.778009686,6966665.78335118,8638
