id,x_ctr,y_ctr
580,1006033.01619216,6115207.04951201
581,1017388.71588113,6115207.04951201
582,1028744.41557011,6115207.04951201
583,1040100.11525908,6115207.04951201
584,1051455.81494805,6115207.04951201
585,1062811.51463702,6115207.04951201
586,1074167.214326,6115207.04951201
587,1085522.91401497,6115207.04951201
588,1096878.61370394,6115207.04951201
589,1108234.31339291,6115207.04951201
590,1119590.01308189,6115207.04951201
591,1130945.71277086,6115207.04951201
592,1142301.41245983,6115207.04951201
593,1153657.1121488,6115207.04951201
594,1165012.81183778,6115207.04951201
595,1176368.51152675,6115207.04951201
596,1187724.21121572,6115207.04951201
597,1199079.91090469,6115207.04951201
598,1210435.61059367,6115207.04951201
599,1221791.31028264,6115207.04951201
600,1233147.00997161,6115207.04951201
601,108932.740763332,6125720.17815849
602,120288.440452305,6125720.17815849
603,131644.140141277,6125720.17815849
604,142999.83983025,6125720.17815849
605,154355.539519222,6125720.17815849
606,165711.239208195,6125720.17815849
607,177066.938897168,6125720.17815849
608,188422.63858614,6125720.17815849
609,199778.338275113,6125720.17815849
610,211134.037964085,6125720.17815849
611,222489.737653058,6125720.17815849
612,233845.43734203,6125720.17815849
613,245201.137031003,6125720.17815849
614,256556.836719975,6125720.17815849
615,267912.536408948,6125720.17815849
616,279268.23609792,6125720.17815849
617,290623.935786893,6125720.17815849
618,301979.635475865,6125720.17815849
619,313335.335164838,6125720.17815849
620,324691.03485381,6125720.17815849
621,336046.734542783,6125720.17815849
622,347402.434231755,6125720.17815849
623,358758.133920728,6125720.17815849
624,370113.8336097,6125720.17815849
625,381469.533298673,6125720.17815849
626,392825.232987646,6125720.17815849
627,404180.932676618,6125720.17815849
