interval,interval_min,interval_max,type_betail,nb
"1.02e+05,1.04e+05",102000,104000,total_bovins,0
"1.02e+05,1.04e+05",102000,104000,total_caprins,0
"1.02e+05,1.04e+05",102000,104000,total_equides,0
"1.02e+05,1.04e+05",102000,104000,total_ovins,0
"1.02e+05,1.04e+05",102000,104000,total_population,4.04227504356077
"1.02e+05,1.04e+05",102000,104000,total_porcins,0
"1.04e+05,1.06e+05",104000,106000,total_bovins,0
"1.04e+05,1.06e+05",104000,106000,total_caprins,0
"1.04e+05,1.06e+05",104000,106000,total_equides,0
"1.04e+05,1.06e+05",104000,106000,total_ovins,0
"1.04e+05,1.06e+05",104000,106000,total_population,3.51996609174934
"1.04e+05,1.06e+05",104000,106000,total_porcins,0
"1.06e+05,1.08e+05",106000,108000,total_bovins,0
"1.06e+05,1.08e+05",106000,108000,total_caprins,0
"1.06e+05,1.08e+05",106000,108000,total_equides,0
"1.06e+05,1.08e+05",106000,108000,total_ovins,0
"1.06e+05,1.08e+05",106000,108000,total_population,7.62628897232306
"1.06e+05,1.08e+05",106000,108000,total_porcins,0
"1.08e+05,1.1e+05",108000,110000,total_bovins,0
"1.08e+05,1.1e+05",108000,110000,total_caprins,0
"1.08e+05,1.1e+05",108000,110000,total_equides,0
"1.08e+05,1.1e+05",108000,110000,total_ovins,0
"1.08e+05,1.1e+05",108000,110000,total_population,33.8897325876343
"1.08e+05,1.1e+05",108000,110000,total_porcins,0
"1.1e+05,1.12e+05",110000,112000,total_bovins,0
"1.1e+05,1.12e+05",110000,112000,total_caprins,0
"1.1e+05,1.12e+05",110000,112000,total_equides,0
"1.1e+05,1.12e+05",110000,112000,total_ovins,0
"1.1e+05,1.12e+05",110000,112000,total_population,30.5337045079129
"1.1e+05,1.12e+05",110000,112000,total_porcins,0
"1.12e+05,1.14e+05",112000,114000,total_bovins,0
"1.12e+05,1.14e+05",112000,114000,total_caprins,0
"1.12e+05,1.14e+05",112000,114000,total_equides,0
"1.12e+05,1.14e+05",112000,114000,total_ovins,0
"1.12e+05,1.14e+05",112000,114000,total_population,2.83746094645317
"1.12e+05,1.14e+05",112000,114000,total_porcins,0
"1.14e+05,1.16e+05",114000,116000,total_bovins,0
"1.14e+05,1.16e+05",114000,116000,total_caprins,0
"1.14e+05,1.16e+05",114000,116000,total_equides,0
"1.14e+05,1.16e+05",114000,116000,total_ovins,0
"1.14e+05,1.16e+05",114000,116000,total_population,1.69133512989236
"1.14e+05,1.16e+05",114000,116000,total_porcins,0
"1.16e+05,1.18e+05",116000,118000,total_bovins,0
"1.16e+05,1.18e+05",116000,118000,total_caprins,0
"1.16e+05,1.18e+05",116000,118000,total_equides,0
"1.16e+05,1.18e+05",116000,118000,total_ovins,0
"1.16e+05,1.18e+05",116000,118000,total_population,2.52697767332187
"1.16e+05,1.18e+05",116000,118000,total_porcins,0
"1.18e+05,1.2e+05",118000,120000,total_bovins,0
"1.18e+05,1.2e+05",118000,120000,total_caprins,0
"1.18e+05,1.2e+05",118000,120000,total_equides,0
"1.18e+05,1.2e+05",118000,120000,total_ovins,0
"1.18e+05,1.2e+05",118000,120000,total_population,2.35207813374191
"1.18e+05,1.2e+05",118000,120000,total_porcins,0
"1.2e+05,1.22e+05",120000,122000,total_bovins,0
"1.2e+05,1.22e+05",120000,122000,total_caprins,0
"1.2e+05,1.22e+05",120000,122000,total_equides,0
"1.2e+05,1.22e+05",120000,122000,total_ovins,0
"1.2e+05,1.22e+05",120000,122000,total_population,1.24301623682127
"1.2e+05,1.22e+05",120000,122000,total_porcins,0
"1.22e+05,1.24e+05",122000,124000,total_bovins,12.7130829270122
"1.22e+05,1.24e+05",122000,124000,total_caprins,0
"1.22e+05,1.24e+05",122000,124000,total_equides,0
"1.22e+05,1.24e+05",122000,124000,total_ovins,0
"1.22e+05,1.24e+05",122000,124000,total_population,0.947021637732971
"1.22e+05,1.24e+05",122000,124000,total_porcins,0
"1.24e+05,1.26e+05",124000,126000,total_bovins,54.088474103242
"1.24e+05,1.26e+05",124000,126000,total_caprins,0
"1.24e+05,1.26e+05",124000,126000,total_equides,0
"1.24e+05,1.26e+05",124000,126000,total_ovins,0
"1.24e+05,1.26e+05",124000,126000,total_population,1.1201510784345
"1.24e+05,1.26e+05",124000,126000,total_porcins,0
"1.26e+05,1.28e+05",126000,128000,total_bovins,48.6198579620149
"1.26e+05,1.28e+05",126000,128000,total_caprins,0
"1.26e+05,1.28e+05",126000,128000,total_equides,0
