id,id_c,x,y,pct_cloud,date_MM,NAME_FR,ADM0_A3,POP_MAX,RANK_MAX,continent,admin,region_un,region_wb,subregion,name_fr
772006,1207,87.5,43.75,0.454684061929584,AN,√úr√ºmqi,CHN,3575000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
819540,1208,104,30.75,0.708825264126063,AN,Chengdu,CHN,4123000,12,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
910402,1209,135.5,34.75,0.59441578907497,AN,Osaka,JPN,11294000,14,Asia,Japan,Asia,East Asia & Pacific,Eastern Asia,Japon
563445,1210,15.25,-4.25,0.740644463422624,AN,Kinshasa,COD,7843000,13,Africa,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Middle Africa,RÈpublique dÈmocratique du Congo
742384,1211,77.25,28.5,0.313550551922879,AN,New Delhi,IND,317797,10,Asia,India,Asia,South Asia,Southern Asia,Inde
743043,1212,77.5,13,0.647379796232351,AN,Bangalore,IND,6787000,13,Asia,India,Asia,South Asia,Southern Asia,Inde
588128,1213,23.75,38,0.360541380694926,AN,Ath√®nes,GRC,3242000,12,Europe,Greece,Europe,Europe & Central Asia,Southern Europe,GrËce
647952,1214,44.5,33.25,0.212216587193711,AN,Bagdad,IRQ,5054000,13,Asia,Iraq,Asia,Middle East & North Africa,Western Asia,Irak
631272,1215,38.75,9,0.527696847972093,AN,Addis-Abeba,ETH,3100000,12,Africa,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,…thiopie
668150,1216,51.5,35.75,0.2953271649665,AN,T√©h√©ran,IRN,7873000,13,Asia,Iran,Asia,Middle East & North Africa,Southern Asia,Iran
164946,1217,-123,49.25,0.663014737945615,AN,Vancouver,CAN,2313328,12,North America,Canada,Americas,North America,Northern America,Canada
290378,1218,-79.5,43.75,0.616347986075914,AN,Toronto,CAN,5213000,13,North America,Canada,Americas,North America,Northern America,Canada
350629,1219,-58.5,-34.5,0.46528013598061,AN,Buenos Aires,ARG,12795000,14,South America,Argentina,Americas,Latin America & Caribbean,South America,Argentine
719336,1220,69.25,34.5,0.274834033214685,AN,Kaboul,AFG,3277000,12,Asia,Afghanistan,Asia,South Asia,Southern Asia,Afghanistan
566539,1221,16.25,48.25,0.614270998560118,AN,Vienne,AUT,2400000,12,Europe,Austria,Europe,Europe & Central Asia,Western Europe,Autriche
937510,1222,145,-37.75,0.572479313860337,AN,Melbourne,AUS,4170000,12,Oceania,Australia,Oceania,East Asia & Pacific,Australia and New Zealand,Australie
869987,1223,121.5,25,0.704932018888719,AN,Taipei,TWN,6900273,13,Asia,Taiwan,Asia,East Asia & Pacific,Eastern Asia,TaÔwan
1023313,1224,174.75,-36.75,0.587592509546966,AN,Auckland,NZL,1377200,12,Oceania,New Zealand,Oceania,East Asia & Pacific,Australia and New Zealand,Nouvelle-ZÈlande
178584,1225,-118.25,34,0.354012930539973,AN,Los Angeles,USA,12500000,14,North America,United States of America,Americas,North America,Northern America,…tats-Unis
297569,1226,-77,39,0.566193964219455,AN,Washington,USA,4338000,12,North America,United States of America,Americas,North America,Northern America,…tats-Unis
306228,1227,-74,40.75,0.572915518825704,AN,New York,USA,19040000,14,North America,United States of America,Americas,North America,Northern America,…tats-Unis
519687,1228,0,51.5,0.684570610071674,AN,Londres,GBR,8567000,13,Europe,United Kingdom,Europe,Europe & Central Asia,Northern Europe,Royaume-Uni
603281,1229,29,41,0.468693827786906,AN,Istanbul,TUR,10061000,14,Asia,Turkey,Asia,Europe & Central Asia,Western Asia,Turquie
654407,1230,46.75,24.75,0.19038125929144,AN,Riyad,SAU,4465000,12,Asia,Saudi Arabia,Asia,Middle East & North Africa,Western Asia,Arabie saoudite
572699,1231,18.5,-34,0.395853165142013,AN,Le Cap,ZAF,3215000,12,Africa,South Africa,Africa,Sub-Saharan Africa,Southern Africa,Afrique du Sud
627854,1232,37.5,55.75,0.719106509378462,AN,Moscou,RUS,10452000,14,Europe,Russia,Europe,Europe & Central Asia,Eastern Europe,Russie
233322,1233,-99.25,19.5,0.554577921376084,AN,Mexico,MEX,19028000,14,North America,Mexico,Americas,Latin America & Caribbean,Central America,Mexique
529601,1234,3.5,6.5,0.708571009055683,AN,Lagos,NGA,9466000,13,Africa,Nigeria,Africa,Sub-Saharan Africa,Western Africa,Nigeria
555699,1235,12.5,42,0.434129838408394,AN,Rome,ITA,3339000,12,Europe,Italy,Europe,Europe & Central Asia,Southern Europe,Italie
855627,1236,116.5,40,0.410273182742072,AN,P√©kin,CHN,11106000,14,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
625463,1237,36.75,-1.25,0.66605932829958,AN,Nairobi,KEN,3010000,12,Africa,Kenya,Africa,Sub-Saharan Africa,Eastern Africa,Kenya
827323,1238,106.75,-6.25,0.753319430983428,AN,Jakarta,IDN,9125000,13,Asia,Indonesia,Asia,East Asia & Pacific,South-Eastern Asia,IndonÈsie
306083,1239,-74,4.5,0.869995645727172,AN,Bogota,COL,7772000,13,South America,Colombia,Americas,Latin America & Caribbean,South America,Colombie
609726,1240,31.25,30,0.191157319667664,AN,Le Caire,EGY,11893000,14,Africa,Egypt,Africa,Middle East & North Africa,Northern Africa,…gypte
870012,1241,121.5,31.25,0.61411754425728,AN,Shanghai,CHN,14987000,14,Asia,China,Asia,East Asia & Pacific,Eastern Asia,RÈpublique populaire de Chine
922663,1242,139.75,35.75,0.597511126123595,AN,Tokyo,JPN,35676000,14,Asia,Japan,Asia,East Asia & Pacific,Eastern Asia,Japon
730089,1243,73,19,0.435031089028626,AN,Bombay,IND,18978000,14,Asia,India,Asia,South Asia,Southern Asia,Inde
526165,1244,2.25,48.75,0.655693293182236,AN,Paris,FRA,9904000,13,Europe,France,Europe,Europe & Central Asia,Western Europe,France
315304,1245,-70.75,-33.5,0.348281058482826,AN,Santiago,CHL,5720000,13,South America,Chile,Americas,Latin America & Caribbean,South America,Chili
774084,1246,88.25,22.5,0.499541319257608,AN,Calcutta,IND,14787000,14,Asia,India,Asia,South Asia,Southern Asia,Inde
394656,1247,-43.25,-23,0.565874570246899,AN,Rio de Janeiro,BRA,11748000,14,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
384560,1248,-46.75,-23.5,0.661083345724778,AN,S√£o Paulo,BRA,18845000,14,South America,Brazil,Americas,Latin America & Caribbean,South America,BrÈsil
955551,1249,151.25,-33.75,0.454028455484094,AN,Sydney,AUS,4630000,12,Oceania,Australia,Oceania,East Asia & Pacific,Australia and New Zealand,Australie
818701,1250,103.75,1.25,0.799791864486355,AN,Singapour,SGP,5183700,13,Asia,Singapore,Asia,East Asia & Pacific,South-Eastern Asia,Singapour
849067,1251,114.25,22.25,0.626559584147551,AN,Hong Kong,HKG,7206000,13,Asia,Hong Kong S.A.R.,Asia,East Asia & Pacific,Eastern Asia,Hong Kong
